rank,year,duration,age_limit,rating,numberof_ratings,Metascore,storyline,movie_name,processed_storyline
11,2010,2h 28m,12A,8.8,(2.6M),74.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.", Inception,a thief who steals corporate secrets through the use of dreamsharing technology is given the inverse task of planting an idea into the mind of a ceo but his tragic past may doom the project and his team to disaster
12,1999,2h 19m,15,8.8,(2.3M),67.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more., Fight Club,an insomniac office worker and a devilmaycare soap maker form an underground fight club that evolves into much more
13,1994,2h 22m,12,8.8,(2.3M),82.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.", Forrest Gump,the history of the united states from the s to the s unfolds from the perspective of an alabama man with an iq of who yearns to be reunited with his childhood sweetheart
14,2002,2h 59m,12A,8.8,(1.8M),87.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.", The Lord of the Rings: The Two Towers,while frodo and sam edge closer to mordor with the help of the shifty gollum the divided fellowship makes a stand against saurons new ally saruman and his hordes of isengard
15,1966,2h 28m,18,8.8,(815K),90.0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.," The Good, the Bad and the Ugly",a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery
16,2014,2h 49m,12A,8.7,(2.1M),74.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.", Interstellar,when earth becomes uninhabitable in the future a farmer and exnasa pilot joseph cooper is tasked to pilot a spacecraft along with a team of researchers to find a new planet for humans
17,1999,2h 16m,15,8.7,(2.1M),73.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.", The Matrix,when a beautiful stranger leads computer hacker neo to a forbidding underworld he discovers the shocking truththe life he knows is the elaborate deception of an evil cyberintelligence
18,1990,2h 25m,18,8.7,(1.3M),92.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.", GoodFellas,the story of henry hill and his life in the mafia covering his relationship with his wife karen and his mob partners jimmy conway and tommy devito
19,1975,2h 13m,15,8.7,(1.1M),84.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.", One Flew Over the Cuckoo's Nest,in the fall of a korean war veteran and criminal pleads insanity and is admitted to a mental institution where he rallies up the scared patients against the tyrannical nurse
20,1980,2h 4m,U,8.7,(1.4M),82.0,"After the Rebel Alliance are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.", Star Wars: Episode V - The Empire Strikes Back,after the rebel alliance are overpowered by the empire luke skywalker begins his jedi training with yoda while his friends are pursued across the galaxy by darth vader and bounty hunter boba fett
21,2021,2h 44m,Not Rated,8.7,(218K),,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.", Jai Bhim,when a tribal man is arrested for a case of alleged theft his wife turns to a humanrights lawyer to help bring justice
22,2020,2h 33m,15,8.7,(124K),,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.", Soorarai Pottru,nedumaaran rajangam maara sets out to make the common man fly and in the process takes on the worlds most capital intensive industry and several enemies who stand in his way
23,2022,2h 44m,12A,8.7,(40K),,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it., 777 Charlie,dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness a pup named charlie enters his life and gives him a new perspective towards it
24,2022,2h 37m,12A,8.7,(59K),,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.", Rocketry: The Nambi Effect,the story of indian space research organization scientist nambi narayanan who was framed for being a spy and arrested in
25,2024,2h 46m,12A,8.6,(450K),79.0,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family., Dune: Part Two,paul atreides unites with chani and the fremen while seeking revenge against the conspirators who destroyed his family
26,1999,3h 9m,18,8.6,(1.4M),61.0,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.", The Green Mile,a tale set on death row where gentle giant john coffey possesses the mysterious power to heal peoples ailments when the lead guard paul edgecombe recognizes johns gift he tries to help stave off the condemned mans execution
27,1998,2h 49m,15,8.6,(1.5M),91.0,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.", Saving Private Ryan,following the normandy landings a group of us soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action
28,1995,2h 7m,18,8.6,(1.8M),65.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.", Seven,two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives
29,2023,2h 20m,PG,8.6,(380K),86.0,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.", Spider-Man: Across the Spider-Verse,miles morales catapults across the multiverse where he encounters a team of spiderpeople charged with protecting its very existence when the heroes clash on how to handle a new threat miles must redefine what it means to be a hero
30,1991,1h 58m,18,8.6,(1.6M),86.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.", The Silence of the Lambs,a young fbi cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims
31,1977,2h 1m,U,8.6,(1.5M),90.0,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.", Star Wars: Episode IV - A New Hope,luke skywalker joins forces with a jedi knight a cocky pilot a wookiee and two droids to save the galaxy from the empires worlddestroying battle station while also attempting to rescue princess leia from the mysterious darth vader
32,1991,2h 17m,15,8.6,(1.2M),75.0,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.", Terminator 2: Judgment Day,a cyborg identical to the one who failed to kill sarah connor must now protect her ten year old son john from an even more advanced and powerful cyborg
33,2001,2h 5m,PG,8.6,(856K),96.0,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.", Spirited Away,during her familys move to the suburbs a sullen yearold girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts
34,2002,2h 10m,18,8.6,(805K),79.0,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.", City of God,in the slums of rio two kids paths diverge as one struggles to become a photographer and the other a kingpin
35,1997,1h 56m,PG,8.6,(747K),58.0,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.", Life Is Beautiful,when an openminded jewish waiter and his son become victims of the holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp
36,1954,3h 27m,PG,8.6,(369K),98.0,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.", Seven Samurai,farmers from a village exploited by bandits hire a veteran samurai for protection who gathers six other samurai to join him
37,1946,2h 10m,U,8.6,(501K),89.0,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed., It's a Wonderful Life,an angel is sent from heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed
38,1962,2h 13m,X,8.6,(70K),85.0,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.", Harakiri,when a ronin requesting seppuku at a feudal lords palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined and in doing so challenges the clans integrity
39,1994,1h 50m,18,8.5,(1.3M),64.0,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.", Leon,yearold mathilda is reluctantly taken in by lon a professional assassin after her family is murdered an unusual relationship forms as she becomes his protge and learns the assassins trade
40,2023,2h 2m,12A,8.5,(32K),,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.", Laapataa Ladies,the misadventures of two young brides who get lost from the same train from mistaken identities to laughoutaloud escapades the ensuing chaos guarantees laughter galore and heartwarming moments
41,2000,2h 35m,15,8.5,(1.6M),67.0,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery., Gladiator,a former roman general sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery
42,1985,1h 56m,PG,8.5,(1.3M),87.0,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.", Back to the Future,marty mcfly a yearold high school student is accidentally sent years into the past in a timetraveling delorean invented by his close friend the maverick scientist doc brown
43,1979,1h 57m,X,8.5,(957K),89.0,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin., Alien,the crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin
44,2019,2h 12m,15,8.5,(971K),97.0,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan., Parasite,greed and class discrimination threaten the newlyformed symbiotic relationship between the wealthy park family and the destitute kim clan
45,2006,2h 31m,18,8.5,(1.4M),85.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston., The Departed,an undercover cop and a mole in the police attempt to identify each other while infiltrating an irish gang in south boston
46,2012,2h 45m,18,8.5,(1.7M),81.0,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.", Django Unchained,with the help of a german bountyhunter a freed slave sets out to rescue his wife from a brutal plantation owner in mississippi
47,1960,1h 49m,15,8.5,(722K),97.0,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother., Psycho,a secretary on the run for embezzlement takes refuge at a secluded california motel owned by a repressed man and his overbearing mother
48,2006,2h 10m,12A,8.5,(1.4M),66.0,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.", The Prestige,after a tragic accident two stage magicians in s london engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other
49,1994,1h 28m,U,8.5,(1.1M),88.0,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.", The Lion King,lion prince simba and his father are targeted by his bitter uncle who wants to ascend the throne himself
50,2014,1h 46m,15,8.5,(999K),89.0,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential., Whiplash,a promising young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential
51,1995,1h 46m,18,8.5,(1.2M),76.0,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup., The Usual Suspects,the sole survivor of a pier shootout tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup
52,1998,1h 59m,18,8.5,(1.2M),62.0,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.", American History X,living a life marked by violence neonazi derek finally goes to prison after killing two black youths upon his release derek vows to change he hopes to prevent his brother danny who idolizes derek from following in his footsteps
53,2002,2h 30m,15,8.5,(919K),85.0,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.", The Pianist,during wwii acclaimed polish musician wladyslaw faces various struggles as he loses contact with his family as the situation worsens he hides in the ruins of warsaw in order to survive
54,1954,1h 52m,PG,8.5,(525K),100.0,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced one of them has committed murder.", Rear Window,a wheelchairbound photographer spies on his neighbors from his greenwich village courtyard apartment window and despite the skepticism of his fashionmodel girlfriend becomes convinced one of them has committed murder
55,1942,1h 42m,U,8.5,(609K),100.0,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco., Casablanca,a cynical expatriate american cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the nazis in french morocco
56,1968,2h 46m,12,8.5,(351K),82.0,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad., Once Upon a Time in the West,a mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad
57,2011,1h 52m,15,8.5,(935K),57.0,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.", Untouchable,after he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver
58,1988,1h 29m,12A,8.5,(313K),94.0,A young boy and his little sister struggle to survive in Japan during World War II., Grave of the Fireflies,a young boy and his little sister struggle to survive in japan during world war ii
59,1988,2h 54m,PG,8.5,(285K),80.0,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist., Cinema Paradiso,a filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinemas projectionist
60,1931,1h 27m,U,8.5,(197K),99.0,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.", City Lights,with the aid of a wealthy erratic tippler a dewyeyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically
61,1936,1h 27m,U,8.5,(261K),96.0,The Tramp struggles to live in modern industrial society with the help of a young homeless woman., Modern Times,the tramp struggles to live in modern industrial society with the help of a young homeless woman
62,2022,2h 43m,12A,8.5,(69K),,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.", Sita Ramam,an orphan soldier lieutenant rams life changes after he gets a letter from a girl named sita he meets her and love blossoms between them when he comes back to his camp in kashmirafter he gets caught in jail he sends a letter to sita which wont reach her
63,2018,2h 38m,PG,8.5,(37K),,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,96,two high school sweethearts meet at a reunion after years and reminisce about their past
64,2009,2h 33m,18,8.4,(1.6M),69.0,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.", Inglourious Basterds,in nazioccupied france during world war ii a plan to assassinate nazi leaders by a group of jewish us soldiers coincides with a theatre owners vengeful plans for the same
65,1979,2h 27m,X,8.4,(714K),94.0,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god., Apocalypse Now,a us army officer serving in vietnam is tasked with assassinating a renegade special forces colonel who sees himself as a god
66,2019,3h 1m,12A,8.4,(1.3M),78.0,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.", Avengers: Endgame,after the devastating events of avengers infinity war the universe is in ruins with the help of remaining allies the avengers assemble once more in order to reverse thanos actions and restore balance to the universe
67,1986,2h 17m,18,8.4,(767K),84.0,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.", Aliens,decades after surviving the nostromo incident ellen ripley is sent out to reestablish contact with a terraforming colony but finds herself battling the alien queen and her offspring
68,2019,2h 2m,15,8.4,(1.5M),59.0,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.", Joker,during the s a failed standup comedian is driven insane and turns to a life of crime and chaos in gotham city while becoming an infamous psychopathic crime figure
69,2012,2h 44m,12A,8.4,(1.8M),78.0,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.", The Dark Knight Rises,eight years after the jokers reign of chaos batman is coerced out of exile with the assistance of the mysterious selina kyle in order to defend gotham city from the vicious guerrilla terrorist bane
70,1980,2h 26m,X,8.4,(1.1M),68.0,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.", The Shining,a family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings from both past and future
71,2018,2h 29m,12A,8.4,(1.2M),68.0,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe., Avengers: Infinity War,the avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful thanos before his blitz of devastation and ruin puts an end to the universe
72,1985,2h 22m,15,8.4,(99K),,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.", Come and See,after finding an old rifle a young boy joins the soviet resistance movement against ruthless german forces and experiences the horrors of world war ii
73,1984,2h 40m,PG,8.4,(430K),87.0,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.", Amadeus,the life success and troubles of wolfgang amadeus mozart as told by antonio salieri the contemporaneous composer who was deeply jealous of mozarts talent and claimed to have murdered him
74,2000,1h 53m,15,8.4,(1.3M),83.0,A man with short-term memory loss attempts to track down his wife's murderer., Memento,a man with shortterm memory loss attempts to track down his wifes murderer
75,1950,1h 50m,PG,8.4,(238K),94.0,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return., Sunset Blvd,a screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return
76,2017,1h 45m,PG,8.4,(597K),81.0,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.", Coco,aspiring musician miguel confronted with his familys ancestral ban on music enters the land of the dead to find his greatgreatgrandfather a legendary singer
77,1981,1h 55m,PG,8.4,(1M),86.0,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.", Raiders of the Lost Ark,in archaeologist and adventurer indiana jones is hired by the us government to find the ark of the covenant before the nazis can obtain its awesome powers
78,2008,1h 38m,U,8.4,(1.2M),95.0,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.", WALLÂ·E,in the distant future a small wastecollecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind
79,2018,1h 57m,PG,8.4,(678K),87.0,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities., Spider-Man: Into the Spider-Verse,teen miles morales becomes the spiderman of his universe and must join with five spiderpowered individuals from other dimensions to stop a threat for all realities
80,2016,1h 46m,12A,8.4,(325K),81.0,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.", Your Name,two teenagers share a profound magical connection upon discovering they are swapping bodies things manage to become even more complicated when the boy and girl decide to meet in person
81,2009,2h 50m,12A,8.4,(437K),67.0,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".", 3 Idiots,two friends are searching for their long lost companion they revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them idiots
82,2006,2h 17m,15,8.4,(412K),89.0,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.", The Lives of Others,in east berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives
83,2018,2h 6m,15,8.4,(107K),75.0,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.", Capernaum,while serving a fiveyear sentence for a violent crime a yearold boy sues his parents for neglect
84,1981,2h 29m,AA,8.4,(265K),85.0,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II., Das Boot,a german uboat stalks the frigid waters of the north atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in world war ii
85,1957,1h 28m,PG,8.4,(214K),90.0,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.", Paths of Glory,after a failed attack on a german position a general orders three soldiers chosen at random courtmartialed for cowardice and their commanding officer must defend them
86,1957,1h 56m,U,8.4,(139K),76.0,A veteran British barrister must defend his client in a murder trial that has surprise after surprise., Witness for the Prosecution,a veteran british barrister must defend his client in a murder trial that has surprise after surprise
87,1940,2h 5m,PG,8.4,(238K),,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime., The Great Dictator,dictator adenoid hynkel tries to expand his empire while a poor jewish barber tries to avoid persecution from hynkels regime
88,1963,2h 23m,12,8.4,(54K),90.0,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom., High and Low,an executive of a yokohama shoe company becomes a victim of extortion when his chauffeurs son is kidnapped by mistake and held for ransom
89,2021,2h 44m,TV-MA,8.4,(48K),,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.", Sardar Udham,a biopic detailing the decades that punjabi sikh revolutionary udham singh spent planning the assassination of the man responsible for the jallianwala bagh massacre
90,2019,2h 25m,12A,8.4,(43K),,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.", Kaithi,dilli an exconvict endeavours to meet his daughter for the first time after leaving prison however his attempts are interrupted due to a drug raid planned by inspector bejoy
91,2019,2h 21m,12A,8.4,(34K),,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.", Asuran,the teenage son of a farmer from an underprivileged caste kills a rich upper caste landlord how the pacifist farmer saves his hotblooded son is the rest of the story
92,2021,2h 32m,12,8.4,(41K),,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?, Drishyam 2,a gripping tale of an investigation and a family which is threatened by it will georgekutty be able to protect his family this time
93,2023,3h,15,8.3,(755K),90.0,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb., Oppenheimer,the story of american scientist j robert oppenheimer and his role in the development of the atomic bomb
94,1999,2h 2m,18,8.3,(1.2M),84.0,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend., American Beauty,a sexually frustrated suburban father has a midlife crisis after becoming infatuated with his daughters best friend
95,2010,2h 11m,15,8.3,(204K),80.0,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes., Incendies,twins journey to the middle east to discover their family history and fulfill their mothers last wishes
96,1997,2h 6m,15,8.3,(1.1M),71.0,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.", Good Will Hunting,will hunting a janitor at mit has a gift for mathematics but needs help from a psychologist to find direction in his life
97,2000,1h 42m,18,8.3,(903K),71.0,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.., Requiem for a Dream,the druginduced utopias of four coney island people are shattered when their addictions run deep
98,1995,2h 50m,15,8.3,(724K),76.0,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist., Heat,a group of highend professional thieves start to feel the heat from the lapd when they unknowingly leave a verbal clue at their latest heist
99,2003,2h,18,8.3,(640K),78.0,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.", Oldboy,after being kidnapped and imprisoned for fifteen years oh daesu is released only to find that he must track down his captor in five days
100,2004,1h 48m,15,8.3,(1.1M),89.0,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.", Eternal Sunshine of the Spotless Mind,when their relationship turns sour a couple undergoes a medical procedure to have each other erased from their memories forever
101,1983,2h 50m,18,8.3,(922K),65.0,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.", Scarface,in miami a determined cuban immigrant takes over a drug cartel and succumbs to greed
